RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603127076813	teste	3.0.2
REQUEST	39		request_0	1603127090495	1603127104633	OK	 
REQUEST	17		request_11	1603127099732	1603127104645	OK	 
REQUEST	40		request_0	1603127090825	1603127104645	OK	 
REQUEST	10		request_12	1603127089625	1603127104653	OK	 
REQUEST	18		request_11	1603127099730	1603127104669	OK	 
REQUEST	54		request_0	1603127094905	1603127104687	OK	 
REQUEST	49		request_1	1603127104030	1603127104688	OK	 
USER	AcessoMercadoAzul1	87	START	1603127104824	1603127104824
REQUEST	8		request_13	1603127094663	1603127104853	OK	 
REQUEST	1		request_13	1603127094659	1603127104873	OK	 
REQUEST	8		request_11	1603127089624	1603127104923	OK	 
REQUEST	1		request_11	1603127089625	1603127104948	OK	 
REQUEST	43		request_0	1603127091655	1603127104968	OK	 
REQUEST	67		request_0	1603127098825	1603127104968	OK	 
REQUEST	41		request_0	1603127091154	1603127104993	OK	 
REQUEST	59		request_0	1603127096495	1603127104993	OK	 
REQUEST	45		request_0	1603127092154	1603127104993	OK	 
REQUEST	16		request_13	1603127094659	1603127104994	OK	 
REQUEST	65		request_0	1603127098156	1603127105012	OK	 
REQUEST	57		request_0	1603127095825	1603127105012	OK	 
REQUEST	2		request_11	1603127089626	1603127105012	OK	 
REQUEST	68		request_1	1603127104270	1603127105012	OK	 
REQUEST	36		request_1	1603127104298	1603127105034	OK	 
REQUEST	46		request_1	1603127103952	1603127105151	OK	 
USER	AcessoMercadoAzul1	88	START	1603127105154	1603127105154
REQUEST	75		request_1	1603127103800	1603127105360	OK	 
REQUEST	77		request_0	1603127101824	1603127105409	OK	 
REQUEST	24		request_1	1603127104567	1603127105410	OK	 
REQUEST	76		request_0	1603127101495	1603127105420	OK	 
REQUEST	73		request_0	1603127100655	1603127105436	OK	 
USER	AcessoMercadoAzul1	89	START	1603127105493	1603127105493
REQUEST	26		request_1	1603127104588	1603127105556	OK	 
REQUEST	16		request_12	1603127089627	1603127105671	OK	 
REQUEST	67		request_1	1603127104970	1603127105711	OK	 
REQUEST	7		request_12	1603127089629	1603127105711	OK	 
REQUEST	16		request_10	1603127084587	1603127105712	OK	 
REQUEST	10		request_11	1603127089624	1603127105733	OK	 
REQUEST	34		request_1	1603127104588	1603127105733	OK	 
REQUEST	1		request_10	1603127084578	1603127105734	OK	 
REQUEST	78		request_0	1603127102154	1603127105742	OK	 
REQUEST	11		request_10	1603127084585	1603127105746	OK	 
USER	AcessoMercadoAzul1	90	START	1603127105824	1603127105824
USER	AcessoMercadoAzul1	91	START	1603127106153	1603127106153
REQUEST	19		request_0	1603127084495	1603127106381	OK	 
USER	AcessoMercadoAzul1	92	START	1603127106404	1603127106404
REQUEST	81		request_0	1603127103154	1603127106454	OK	 
REQUEST	35		request_0	1603127089155	1603127106454	OK	 
REQUEST	23		request_1	1603127104486	1603127106550	OK	 
REQUEST	43		request_5	1603127104971	1603127106595	OK	 
USER	AcessoMercadoAzul1	93	START	1603127106654	1603127106654
REQUEST	58		request_0	1603127096154	1603127106891	OK	 
USER	AcessoMercadoAzul1	94	START	1603127106903	1603127106903
REQUEST	75		request_5	1603127103801	1603127106914	OK	 
REQUEST	17		request_10	1603127099732	1603127106927	OK	 
REQUEST	22		request_10	1603127104021	1603127106927	OK	 
REQUEST	31		request_5	1603127104603	1603127106966	OK	 
REQUEST	29		request_2	1603127104578	1603127107003	OK	 
REQUEST	19		request_1	1603127106383	1603127107021	OK	 
REQUEST	47		request_5	1603127104579	1603127107022	OK	 
REQUEST	35		request_1	1603127106457	1603127107060	OK	 
REQUEST	81		request_1	1603127106456	1603127107060	OK	 
REQUEST	69		request_5	1603127103971	1603127107125	OK	 
USER	AcessoMercadoAzul1	95	START	1603127107154	1603127107154
REQUEST	66		request_2	1603127103958	1603127107201	OK	 
REQUEST	46		request_5	1603127103954	1603127107201	OK	 
REQUEST	66		request_11	1603127103960	1603127107201	OK	 
REQUEST	36		request_2	1603127104298	1603127107379	OK	 
REQUEST	69		request_2	1603127103971	1603127107478	OK	 
USER	AcessoMercadoAzul1	96	START	1603127107493	1603127107493
REQUEST	24		request_2	1603127104568	1603127107559	OK	 
REQUEST	32		request_10	1603127103972	1603127107578	OK	 
REQUEST	24		request_5	1603127104568	1603127107619	OK	 
REQUEST	39		request_1	1603127104634	1603127107642	OK	 
REQUEST	56		request_13	1603127104016	1603127107727	OK	 
REQUEST	72		request_13	1603127103957	1603127107748	OK	 
USER	AcessoMercadoAzul1	97	START	1603127107824	1603127107824
REQUEST	56		request_11	1603127104015	1603127107844	OK	 
REQUEST	16		request_5	1603127084586	1603127107862	OK	 
REQUEST	10		request_10	1603127084578	1603127107899	OK	 
REQUEST	5		request_12	1603127089625	1603127107901	OK	 
REQUEST	14		request_13	1603127094658	1603127107957	OK	 
REQUEST	4		request_12	1603127089625	1603127108035	OK	 
REQUEST	52		request_0	1603127094405	1603127108095	OK	 
USER	AcessoMercadoAzul1	98	START	1603127108154	1603127108154
REQUEST	11		request_2	1603127084581	1603127108400	OK	 
REQUEST	15		request_12	1603127089626	1603127108420	OK	 
REQUEST	9		request_2	1603127084584	1603127108464	OK	 
REQUEST	3		request_11	1603127089622	1603127108484	OK	 
USER	AcessoMercadoAzul1	99	START	1603127108494	1603127108494
REQUEST	20		request_0	1603127084825	1603127108504	OK	 
REQUEST	48		request_0	1603127093155	1603127108504	OK	 
REQUEST	50		request_2	1603127104555	1603127108505	OK	 
REQUEST	14		request_12	1603127089628	1603127108552	OK	 
REQUEST	39		request_5	1603127104634	1603127108580	OK	 
REQUEST	30		request_0	1603127087825	1603127108671	OK	 
REQUEST	24		request_13	1603127104569	1603127108671	OK	 
REQUEST	17		request_13	1603127099734	1603127108671	OK	 
REQUEST	19		request_2	1603127106383	1603127108690	OK	 
REQUEST	36		request_5	1603127104299	1603127108781	OK	 
USER	AcessoMercadoAzul1	100	START	1603127108823	1603127108823
REQUEST	43		request_1	1603127104970	1603127108828	OK	 
REQUEST	27		request_5	1603127103971	1603127108850	OK	 
REQUEST	78		request_1	1603127105744	1603127108918	OK	 
REQUEST	76		request_5	1603127105422	1603127108937	OK	 
REQUEST	67		request_13	1603127104973	1603127108937	OK	 
REQUEST	58		request_1	1603127106893	1603127108988	OK	 
REQUEST	54		request_1	1603127104688	1603127108994	OK	 
REQUEST	12		request_2	1603127084576	1603127108994	OK	 
REQUEST	61		request_1	1603127104624	1603127109008	OK	 
REQUEST	21		request_12	1603127104014	1603127109054	OK	 
REQUEST	57		request_1	1603127105013	1603127109054	OK	 
REQUEST	80		request_0	1603127102853	1603127109079	OK	 
REQUEST	26		request_2	1603127104588	1603127109141	OK	 
REQUEST	29		request_10	1603127104579	1603127109142	OK	 
USER	AcessoMercadoAzul1	101	START	1603127109154	1603127109154
REQUEST	24		request_11	1603127104569	1603127109162	OK	 
REQUEST	26		request_5	1603127104589	1603127109162	OK	 
REQUEST	34		request_10	1603127104590	1603127109162	OK	 
REQUEST	26		request_11	1603127104589	1603127109164	OK	 
REQUEST	1		request_12	1603127089626	1603127109182	OK	 
REQUEST	77		request_2	1603127105411	1603127109398	OK	 
USER	AcessoMercadoAzul1	102	START	1603127109404	1603127109404
REQUEST	47		request_11	1603127104579	1603127109422	OK	 
REQUEST	5		request_10	1603127084582	1603127109422	OK	 
REQUEST	52		request_1	1603127108096	1603127109423	OK	 
REQUEST	18		request_10	1603127099729	1603127109423	OK	 
REQUEST	73		request_1	1603127105437	1603127109463	OK	 
REQUEST	29		request_5	1603127104578	1603127109562	OK	 
REQUEST	35		request_2	1603127106457	1603127109589	OK	 
REQUEST	34		request_5	1603127104589	1603127109610	OK	 
USER	AcessoMercadoAzul1	103	START	1603127109654	1603127109654
REQUEST	34		request_13	1603127104591	1603127109711	OK	 
