RUN	basic.ListarAnuncios2	listaranuncios2	1603205856681	teste	3.0.2
REQUEST	83		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880130	1603205886099	OK	 
REQUEST	83		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880129	1603205886110	OK	 
REQUEST	49		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880123	1603205886110	OK	 
REQUEST	49		css?family=Roboto:700,500,400,300,600&display=swap	1603205875090	1603205886115	OK	 
REQUEST	49		request_14	1603205865903	1603205886116	OK	 
REQUEST	46		css?family=Roboto:700,500,400,300,600&display=swap	1603205875088	1603205886119	OK	 
REQUEST	99		css?family=Roboto:700,500,400,300,600&display=swap	1603205885197	1603205886120	OK	 
REQUEST	49		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880121	1603205886121	OK	 
REQUEST	26		request_14	1603205865018	1603205886124	OK	 
REQUEST	77		request_14	1603205865019	1603205886124	OK	 
REQUEST	93		request_14	1603205885254	1603205886125	OK	 
REQUEST	98		request_14	1603205885273	1603205886126	OK	 
REQUEST	33		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885271	1603205886126	OK	 
REQUEST	33		request_14	1603205885268	1603205886128	OK	 
REQUEST	82		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885213	1603205886129	OK	 
REQUEST	65		request_14	1603205885357	1603205886129	OK	 
REQUEST	83		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880130	1603205886130	OK	 
REQUEST	99		request_14	1603205885195	1603205886131	OK	 
REQUEST	98		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885277	1603205886133	OK	 
REQUEST	65		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885379	1603205886134	OK	 
REQUEST	40		request_1	1603205885280	1603205886135	OK	 
REQUEST	99		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885197	1603205886137	OK	 
REQUEST	24		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880124	1603205886138	OK	 
REQUEST	97		request_0	1603205859087	1603205886139	OK	 
REQUEST	61		css?family=Roboto:700,500,400,300,600&display=swap	1603205885290	1603205886127	OK	 
REQUEST	56		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885182	1603205886142	OK	 
REQUEST	77		css?family=Roboto:700,500,400,300,600&display=swap	1603205875090	1603205886143	OK	 
REQUEST	99		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885198	1603205886143	OK	 
REQUEST	95		request_14	1603205865230	1603205886147	OK	 
REQUEST	14		request_0	1603205859048	1603205886147	OK	 
REQUEST	24		css?family=Roboto:700,500,400,300,600&display=swap	1603205875089	1603205886148	OK	 
REQUEST	98		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885276	1603205886152	OK	 
REQUEST	93		css?family=Roboto:700,500,400,300,600&display=swap	1603205885268	1603205886155	OK	 
REQUEST	95		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880132	1603205886160	OK	 
REQUEST	15		request_14	1603205885232	1603205886161	OK	 
REQUEST	61		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885291	1603205886166	OK	 
REQUEST	82		request_14	1603205885210	1603205886168	OK	 
REQUEST	50		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880125	1603205886171	OK	 
REQUEST	60		request_14	1603205865019	1603205886172	OK	 
REQUEST	15		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885256	1603205886171	OK	 
REQUEST	77		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880128	1603205886175	OK	 
REQUEST	60		css?family=Roboto:700,500,400,300,600&display=swap	1603205875087	1603205886176	OK	 
REQUEST	15		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885255	1603205886177	OK	 
REQUEST	60		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880131	1603205886178	OK	 
REQUEST	61		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885291	1603205886179	OK	 
REQUEST	31		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885282	1603205886181	OK	 
REQUEST	93		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885270	1603205886182	OK	 
REQUEST	61		request_14	1603205885288	1603205886183	OK	 
REQUEST	15		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885255	1603205886185	OK	 
REQUEST	61		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885290	1603205886187	OK	 
REQUEST	93		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885269	1603205886189	OK	 
REQUEST	77		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880123	1603205886193	OK	 
REQUEST	30		request_14	1603205885192	1603205886193	OK	 
REQUEST	82		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885212	1603205886196	OK	 
REQUEST	77		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880122	1603205886197	OK	 
REQUEST	60		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880131	1603205886199	OK	 
REQUEST	49		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880122	1603205886202	OK	 
REQUEST	32		request_1	1603205885295	1603205886208	OK	 
REQUEST	50		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880123	1603205886209	OK	 
REQUEST	30		css?family=Roboto:700,500,400,300,600&display=swap	1603205885196	1603205886212	OK	 
REQUEST	12		request_0	1603205859046	1603205886215	OK	 
REQUEST	31		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885282	1603205886216	OK	 
REQUEST	93		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885269	1603205886218	OK	 
REQUEST	98		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885276	1603205886218	OK	 
REQUEST	96		request_1	1603205885346	1603205886214	OK	 
REQUEST	30		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885196	1603205886215	OK	 
REQUEST	10		request_0	1603205859045	1603205886218	OK	 
REQUEST	48		request_0	1603205859068	1603205886220	OK	 
REQUEST	65		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885378	1603205886227	OK	 
REQUEST	31		css?family=Roboto:700,500,400,300,600&display=swap	1603205885281	1603205886227	OK	 
REQUEST	31		request_14	1603205885263	1603205886228	OK	 
REQUEST	33		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885270	1603205886233	OK	 
REQUEST	44		request_0	1603205859066	1603205886237	OK	 
REQUEST	34		request_0	1603205859060	1603205886237	OK	 
REQUEST	33		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885270	1603205886240	OK	 
REQUEST	70		request_1	1603205885293	1603205886241	OK	 
REQUEST	95		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880131	1603205886235	OK	 
REQUEST	86		request_1	1603205885348	1603205886242	OK	 
REQUEST	95		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880133	1603205886244	OK	 
REQUEST	42		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885225	1603205886245	OK	 
REQUEST	30		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885201	1603205886247	OK	 
REQUEST	46		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880131	1603205886251	OK	 
REQUEST	11		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880121	1603205886253	OK	 
REQUEST	84		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885238	1603205886255	OK	 
REQUEST	95		css?family=Roboto:700,500,400,300,600&display=swap	1603205875091	1603205886256	OK	 
REQUEST	52		css?family=Roboto:700,500,400,300,600&display=swap	1603205885202	1603205886257	OK	 
REQUEST	42		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885224	1603205886258	OK	 
REQUEST	42		request_14	1603205885211	1603205886259	OK	 
REQUEST	24		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880122	1603205886256	OK	 
REQUEST	24		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880123	1603205886262	OK	 
REQUEST	42		css?family=Roboto:700,500,400,300,600&display=swap	1603205885223	1603205886262	OK	 
REQUEST	28		request_0	1603205859057	1603205886257	OK	 
REQUEST	74		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885189	1603205886267	OK	 
REQUEST	100		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880130	1603205886269	OK	 
REQUEST	42		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885225	1603205886270	OK	 
REQUEST	11		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880122	1603205886270	OK	 
REQUEST	30		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885223	1603205886255	OK	 
REQUEST	11		request_14	1603205865018	1603205886272	OK	 
REQUEST	52		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885204	1603205886272	OK	 
REQUEST	56		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885184	1603205886273	OK	 
REQUEST	74		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885189	1603205886273	OK	 
REQUEST	100		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880129	1603205886275	OK	 
REQUEST	52		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885205	1603205886278	OK	 
REQUEST	22		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880136	1603205886280	OK	 
REQUEST	11		css?family=Roboto:700,500,400,300,600&display=swap	1603205875090	1603205886280	OK	 
REQUEST	84		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885237	1603205886282	OK	 
REQUEST	55		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880123	1603205886283	OK	 
REQUEST	40		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885278	1603205886285	OK	 
REQUEST	55		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880122	1603205886286	OK	 
REQUEST	40		request_14	1603205885276	1603205886287	OK	 
REQUEST	39		css?family=Roboto:700,500,400,300,600&display=swap	1603205885188	1603205886288	OK	 
REQUEST	8		request_14	1603205885236	1603205886288	OK	 
REQUEST	21		request_1	1603205885282	1603205886291	OK	 
REQUEST	74		css?family=Roboto:700,500,400,300,600&display=swap	1603205885188	1603205886291	OK	 
