RUN	basic.ListarAnuncios	listaranuncios	1603286431127	teste	3.0.2
REQUEST	33		Gerar Token	1603286433443	1603286453677	OK	 
REQUEST	38		Gerar Token	1603286433445	1603286453683	OK	 
REQUEST	194		request_0	1603286451815	1603286453695	OK	 
REQUEST	8		request_0	1603286451945	1603286453703	OK	 
REQUEST	29		request_0	1603286451554	1603286453710	OK	 
REQUEST	100		request_0	1603286451815	1603286453716	OK	 
REQUEST	43		request_0	1603286448448	1603286453716	OK	 
REQUEST	19		request_0	1603286451974	1603286453723	OK	 
REQUEST	193		request_0	1603286452435	1603286453729	OK	 
REQUEST	53		request_0	1603286449735	1603286453748	OK	 
REQUEST	166		request_0	1603286452184	1603286453749	OK	 
REQUEST	199		request_0	1603286452835	1603286453762	OK	 
REQUEST	62		request_0	1603286451815	1603286453768	OK	 
REQUEST	88		request_0	1603286452534	1603286453798	OK	 
REQUEST	2		request_0	1603286452174	1603286453800	OK	 
REQUEST	36		request_0	1603286452174	1603286453801	OK	 
REQUEST	21		request_0	1603286450734	1603286453802	OK	 
REQUEST	52		request_0	1603286452184	1603286453807	OK	 
REQUEST	182		request_0	1603286451685	1603286453806	OK	 
REQUEST	93		request_0	1603286451564	1603286453804	OK	 
REQUEST	59		request_0	1603286451945	1603286453808	OK	 
REQUEST	165		request_0	1603286451945	1603286453807	OK	 
REQUEST	11		request_0	1603286452434	1603286453813	OK	 
REQUEST	196		Gerar Token	1603286433478	1603286453813	OK	 
REQUEST	77		request_0	1603286451474	1603286453814	OK	 
REQUEST	101		request_0	1603286452274	1603286453817	OK	 
REQUEST	27		request_0	1603286452534	1603286453817	OK	 
REQUEST	13		request_0	1603286452575	1603286453819	OK	 
REQUEST	197		request_0	1603286451574	1603286453821	OK	 
REQUEST	107		request_0	1603286452345	1603286453822	OK	 
REQUEST	22		request_0	1603286451874	1603286453813	OK	 
REQUEST	61		request_0	1603286451984	1603286453825	OK	 
REQUEST	199		request_1	1603286453796	1603286453826	OK	 
REQUEST	8		request_1	1603286453796	1603286453826	OK	 
REQUEST	5		request_0	1603286451675	1603286453829	OK	 
REQUEST	29		request_1	1603286453796	1603286453830	OK	 
REQUEST	194		request_1	1603286453796	1603286453831	OK	 
REQUEST	166		request_1	1603286453799	1603286453831	OK	 
REQUEST	62		request_1	1603286453796	1603286453831	OK	 
REQUEST	100		request_1	1603286453797	1603286453831	OK	 
REQUEST	19		request_1	1603286453796	1603286453833	OK	 
REQUEST	181		request_0	1603286452825	1603286453834	OK	 
REQUEST	53		request_1	1603286453796	1603286453837	OK	 
REQUEST	36		request_1	1603286453804	1603286453838	OK	 
REQUEST	2		request_1	1603286453805	1603286453838	OK	 
REQUEST	193		request_1	1603286453802	1603286453838	OK	 
REQUEST	88		request_1	1603286453806	1603286453838	OK	 
REQUEST	43		request_1	1603286453796	1603286453838	OK	 
REQUEST	21		request_1	1603286453805	1603286453838	OK	 
REQUEST	182		request_1	1603286453811	1603286453846	OK	 
REQUEST	52		request_1	1603286453810	1603286453846	OK	 
REQUEST	59		request_1	1603286453811	1603286453846	OK	 
REQUEST	11		request_1	1603286453815	1603286453847	OK	 
REQUEST	93		request_1	1603286453812	1603286453848	OK	 
REQUEST	165		request_1	1603286453815	1603286453851	OK	 
REQUEST	77		request_1	1603286453817	1603286453861	OK	 
REQUEST	27		request_1	1603286453819	1603286453861	OK	 
REQUEST	13		request_1	1603286453822	1603286453862	OK	 
REQUEST	101		request_1	1603286453818	1603286453864	OK	 
REQUEST	61		request_1	1603286453828	1603286453878	OK	 
REQUEST	22		request_1	1603286453824	1603286453879	OK	 
REQUEST	197		request_1	1603286453826	1603286453885	OK	 
REQUEST	107		request_1	1603286453823	1603286453887	OK	 
REQUEST	5		request_1	1603286453831	1603286453903	OK	 
REQUEST	181		request_1	1603286453836	1603286453903	OK	 
REQUEST	8		request_3	1603286453796	1603286453962	OK	 
REQUEST	19		request_3	1603286453796	1603286453980	OK	 
REQUEST	166		request_3	1603286453800	1603286453980	OK	 
REQUEST	194		request_3	1603286453797	1603286453980	OK	 
REQUEST	193		request_3	1603286453802	1603286453980	OK	 
REQUEST	19		request_4	1603286453797	1603286453980	OK	 
REQUEST	88		request_4	1603286453806	1603286453980	OK	 
REQUEST	52		request_4	1603286453811	1603286453981	OK	 
REQUEST	8		request_4	1603286453796	1603286453981	OK	 
REQUEST	36		request_4	1603286453805	1603286453981	OK	 
REQUEST	52		request_3	1603286453811	1603286453981	OK	 
REQUEST	36		request_3	1603286453805	1603286453982	OK	 
REQUEST	29		request_3	1603286453796	1603286454006	OK	 
REQUEST	88		request_3	1603286453806	1603286454006	OK	 
