RUN	basic.CadastrarAnuncio	cadastraranuncio	1603488920280	teste	3.0.2
REQUEST	49		request_7	1603488945155	1603488945245	OK	 
REQUEST	49		request_4	1603488945155	1603488945245	OK	 
REQUEST	35		request_7	1603488945195	1603488945270	OK	 
REQUEST	43		request_0	1603488945125	1603488945271	OK	 
REQUEST	35		request_4	1603488945194	1603488945278	OK	 
USER	CadastrarAnuncio	69	START	1603488945295	1603488945295
REQUEST	43		request_1	1603488945278	1603488945308	OK	 
REQUEST	35		request_3	1603488945194	1603488945308	OK	 
REQUEST	41		request_0	1603488945175	1603488945308	OK	 
REQUEST	44		request_0	1603488945175	1603488945308	OK	 
REQUEST	43		request_2	1603488945280	1603488945309	OK	 
REQUEST	36		request_0	1603488945175	1603488945318	OK	 
REQUEST	37		request_0	1603488945185	1603488945331	OK	 
REQUEST	41		request_1	1603488945312	1603488945337	OK	 
REQUEST	44		request_1	1603488945312	1603488945337	OK	 
REQUEST	46		request_0	1603488945205	1603488945337	OK	 
REQUEST	44		request_2	1603488945314	1603488945346	OK	 
REQUEST	41		request_2	1603488945314	1603488945346	OK	 
REQUEST	43		request_7	1603488945281	1603488945350	OK	 
REQUEST	36		request_2	1603488945323	1603488945354	OK	 
REQUEST	43		request_4	1603488945280	1603488945357	OK	 
REQUEST	36		request_1	1603488945322	1603488945357	OK	 
REQUEST	50		request_0	1603488945205	1603488945357	OK	 
REQUEST	43		request_3	1603488945279	1603488945363	OK	 
REQUEST	46		request_2	1603488945340	1603488945364	OK	 
REQUEST	46		request_1	1603488945339	1603488945364	OK	 
REQUEST	37		request_1	1603488945333	1603488945365	OK	 
REQUEST	37		request_2	1603488945334	1603488945365	OK	 
REQUEST	50		request_1	1603488945360	1603488945382	OK	 
REQUEST	50		request_2	1603488945362	1603488945390	OK	 
REQUEST	44		request_7	1603488945315	1603488945395	OK	 
REQUEST	44		request_4	1603488945314	1603488945396	OK	 
REQUEST	41		request_3	1603488945313	1603488945396	OK	 
REQUEST	41		request_7	1603488945315	1603488945401	OK	 
REQUEST	36		request_7	1603488945324	1603488945401	OK	 
REQUEST	44		request_3	1603488945313	1603488945401	OK	 
REQUEST	37		request_3	1603488945333	1603488945408	OK	 
REQUEST	36		request_4	1603488945323	1603488945408	OK	 
REQUEST	41		request_4	1603488945314	1603488945408	OK	 
REQUEST	36		request_3	1603488945322	1603488945409	OK	 
REQUEST	51		request_0	1603488945285	1603488945409	OK	 
REQUEST	46		request_7	1603488945340	1603488945423	OK	 
REQUEST	37		request_4	1603488945334	1603488945423	OK	 
REQUEST	37		request_7	1603488945334	1603488945423	OK	 
REQUEST	46		request_3	1603488945340	1603488945430	OK	 
REQUEST	51		request_1	1603488945412	1603488945438	OK	 
REQUEST	46		request_4	1603488945340	1603488945438	OK	 
REQUEST	50		request_3	1603488945361	1603488945438	OK	 
REQUEST	50		request_7	1603488945362	1603488945438	OK	 
REQUEST	51		request_2	1603488945413	1603488945443	OK	 
REQUEST	50		request_4	1603488945361	1603488945449	OK	 
REQUEST	51		request_3	1603488945413	1603488945484	OK	 
REQUEST	51		request_7	1603488945414	1603488945491	OK	 
REQUEST	51		request_4	1603488945413	1603488945498	OK	 
REQUEST	39		request_0	1603488945395	1603488945516	OK	 
REQUEST	40		request_0	1603488945405	1603488945531	OK	 
REQUEST	39		request_1	1603488945518	1603488945545	OK	 
REQUEST	42		request_0	1603488945405	1603488945546	OK	 
REQUEST	39		request_2	1603488945519	1603488945550	OK	 
REQUEST	40		request_2	1603488945535	1603488945565	OK	 
REQUEST	68		Gerar Token	1603488944966	1603488945569	OK	 
REQUEST	40		request_1	1603488945533	1603488945575	OK	 
REQUEST	42		request_1	1603488945549	1603488945575	OK	 
REQUEST	42		request_2	1603488945551	1603488945576	OK	 
REQUEST	39		request_4	1603488945519	1603488945602	OK	 
REQUEST	39		request_7	1603488945519	1603488945603	OK	 
REQUEST	45		request_0	1603488945475	1603488945603	OK	 
REQUEST	38		request_0	1603488945475	1603488945603	OK	 
REQUEST	39		request_3	1603488945518	1603488945608	OK	 
REQUEST	40		request_3	1603488945534	1603488945618	OK	 
REQUEST	40		request_7	1603488945535	1603488945628	OK	 
REQUEST	42		request_3	1603488945550	1603488945628	OK	 
REQUEST	40		request_4	1603488945534	1603488945629	OK	 
REQUEST	47		request_0	1603488945516	1603488945629	OK	 
REQUEST	38		request_1	1603488945606	1603488945632	OK	 
USER	CadastrarAnuncio	70	START	1603488945634	1603488945634
REQUEST	42		request_7	1603488945551	1603488945635	OK	 
REQUEST	45		request_1	1603488945606	1603488945635	OK	 
REQUEST	42		request_4	1603488945550	1603488945636	OK	 
REQUEST	45		request_2	1603488945608	1603488945636	OK	 
REQUEST	38		request_2	1603488945608	1603488945636	OK	 
REQUEST	47		request_1	1603488945631	1603488945659	OK	 
REQUEST	47		request_2	1603488945632	1603488945663	OK	 
REQUEST	48		request_0	1603488945535	1603488945663	OK	 
REQUEST	45		request_7	1603488945608	1603488945684	OK	 
REQUEST	38		request_4	1603488945607	1603488945684	OK	 
REQUEST	45		request_3	1603488945607	1603488945684	OK	 
REQUEST	38		request_3	1603488945607	1603488945684	OK	 
REQUEST	45		request_4	1603488945607	1603488945684	OK	 
REQUEST	48		request_1	1603488945666	1603488945690	OK	 
REQUEST	38		request_7	1603488945608	1603488945690	OK	 
REQUEST	48		request_2	1603488945667	1603488945692	OK	 
REQUEST	47		request_3	1603488945631	1603488945710	OK	 
REQUEST	47		request_7	1603488945632	1603488945710	OK	 
REQUEST	47		request_4	1603488945632	1603488945718	OK	 
REQUEST	69		Gerar Token	1603488945296	1603488945735	OK	 
REQUEST	48		request_3	1603488945666	1603488945745	OK	 
REQUEST	48		request_4	1603488945667	1603488945746	OK	 
REQUEST	48		request_7	1603488945667	1603488945751	OK	 
REQUEST	52		request_0	1603488945745	1603488945867	OK	 
REQUEST	52		request_1	1603488945870	1603488945892	OK	 
REQUEST	52		request_2	1603488945872	1603488945902	OK	 
REQUEST	52		request_7	1603488945872	1603488945954	OK	 
REQUEST	52		request_3	1603488945871	1603488945955	OK	 
REQUEST	52		request_4	1603488945871	1603488945956	OK	 
REQUEST	53		request_0	1603488945845	1603488945963	OK	 
USER	CadastrarAnuncio	71	START	1603488945965	1603488945965
REQUEST	53		request_1	1603488945967	1603488945996	OK	 
REQUEST	53		request_2	1603488945968	1603488945997	OK	 
REQUEST	53		request_4	1603488945967	1603488946046	OK	 
REQUEST	53		request_7	1603488945968	1603488946047	OK	 
REQUEST	53		request_3	1603488945967	1603488946053	OK	 
REQUEST	54		request_0	1603488945945	1603488946053	OK	 
REQUEST	54		request_1	1603488946055	1603488946083	OK	 
REQUEST	54		request_2	1603488946056	1603488946084	OK	 
REQUEST	70		Gerar Token	1603488945635	1603488946131	OK	 
REQUEST	54		request_7	1603488946056	1603488946138	OK	 
REQUEST	54		request_4	1603488946056	1603488946155	OK	 
REQUEST	54		request_3	1603488946056	1603488946155	OK	 
REQUEST	55		request_0	1603488946025	1603488946155	OK	 
REQUEST	55		request_1	1603488946159	1603488946190	OK	 
