RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603129416590	teste script acesso mercado azul	3.0.2
REQUEST	69		request_0	1603129439182	1603129440581	OK	 
REQUEST	7		request_12	1603129429342	1603129440582	OK	 
USER	AcessoMercadoAzul1	74	START	1603129440592	1603129440592
REQUEST	70		request_0	1603129439512	1603129440599	OK	 
REQUEST	66		request_5	1603129439124	1603129440599	OK	 
REQUEST	53		request_11	1603129438895	1603129440598	OK	 
REQUEST	66		request_11	1603129439125	1603129440617	OK	 
REQUEST	17		request_2	1603129424297	1603129440617	OK	 
REQUEST	66		request_2	1603129439124	1603129440618	OK	 
REQUEST	4		request_11	1603129429337	1603129440634	OK	 
REQUEST	3		request_10	1603129424306	1603129440634	OK	 
REQUEST	47		request_5	1603129436568	1603129440634	OK	 
REQUEST	66		request_10	1603129439124	1603129440634	OK	 
REQUEST	66		request_13	1603129439125	1603129440641	OK	 
REQUEST	51		request_1	1603129440370	1603129440653	OK	 
REQUEST	42		request_1	1603129440037	1603129440672	OK	 
REQUEST	67		request_1	1603129439961	1603129440672	OK	 
REQUEST	63		request_2	1603129439618	1603129440672	OK	 
REQUEST	31		request_1	1603129440402	1603129440714	OK	 
REQUEST	30		request_1	1603129440402	1603129440714	OK	 
REQUEST	26		request_21	1603129440038	1603129440714	OK	 
REQUEST	28		request_12	1603129436351	1603129440723	OK	 
REQUEST	47		request_12	1603129436569	1603129440725	OK	 
REQUEST	48		request_12	1603129436352	1603129440730	OK	 
REQUEST	22		request_12	1603129436351	1603129440741	OK	 
REQUEST	2		request_13	1603129434381	1603129440741	OK	 
REQUEST	34		request_12	1603129436370	1603129440749	OK	 
REQUEST	9		request_21	1603129440512	1603129440763	OK	 
REQUEST	10		request_12	1603129429344	1603129440764	OK	 
REQUEST	36		request_1	1603129440561	1603129440765	OK	 
REQUEST	66		request_12	1603129439125	1603129440770	OK	 
REQUEST	64		request_2	1603129440119	1603129440792	OK	 
REQUEST	55		request_0	1603129434843	1603129440792	OK	 
REQUEST	70		request_1	1603129440600	1603129440793	OK	 
REQUEST	69		request_1	1603129440582	1603129440793	OK	 
REQUEST	65		request_5	1603129440158	1603129440811	OK	 
REQUEST	23		request_2	1603129440223	1603129440830	OK	 
USER	AcessoMercadoAzul1	75	START	1603129440842	1603129440842
REQUEST	65		request_2	1603129440157	1603129440868	OK	 
REQUEST	63		request_12	1603129439621	1603129440930	OK	 
REQUEST	63		request_10	1603129439619	1603129440930	OK	 
REQUEST	27		request_11	1603129436276	1603129440950	OK	 
REQUEST	63		request_13	1603129439621	1603129440950	OK	 
REQUEST	71		request_0	1603129439842	1603129440976	OK	 
REQUEST	26		request_22	1603129440716	1603129441023	OK	 
REQUEST	8		request_12	1603129429340	1603129441049	OK	 
REQUEST	63		request_11	1603129439620	1603129441067	OK	 
REQUEST	67		request_5	1603129439962	1603129441087	OK	 
REQUEST	53		request_12	1603129438896	1603129441123	OK	 
REQUEST	18		request_10	1603129434407	1603129441160	OK	 
